IDCOMUNA	NCOMUNA	REDCODEN	
01	IQUIQUE	MSy
07	ALTO HOSPICIO	z{
01	POZO ALMONTE	|}5
02	CAMIA	67
03	COLCHANE	8
04	HUARA	
05	PICA	
01	ANTOFAGASTA	
02	MEJILLONES	
03	SIERRA GORDA	
04	TALTAL	
01	CALAMA	
02	OLLAGE	ij
03	SAN PEDRO DE ATACAMA	kl
01	TOCOPILLA	
02	MARA ELENA	
01	COPIAP	
02	CALDERA	
03	TIERRA AMARILLA	Q
01	CHAARAL	
02	DIEGO DE ALMAGRO	
01	VALLENAR	
02	ALTO DEL CARMEN	}
03	FREIRINA	~
04	HUASCO	
01	LA SERENA	
02	COQUIMBO	
03	ANDACOLLO	EF
04	LA HIGUERA	GHI
05	PAIGUANO	J
06	VICUA	
01	ILLAPEL	
02	CANELA	
03	LOS VILOS	
04	SALAMANCA	
01	OVALLE	
02	COMBARBAL	
03	MONTE PATRIA	
04	PUNITAQUI	9:;
05	RO HURTADO	<=
01	VALPARASO	>
02	CASABLANCA	
03	CONCN	
04	JUAN FERNNDEZ	
05	PUCHUNCAV	
07	QUINTERO	
09	VIA DEL MAR	
01	ISLA DE PASCUA	
01	LOS ANDES	!"
02	CALLE LARGA	#
03	RINCONADA	
04	SAN ESTEBAN	
01	LA LIGUA	
02	CABILDO	
03	PAPUDO	
04	PETORCA	
05	ZAPALLAR	
01	QUILLOTA	
02	CALERA	
03	HIJUELAS	
04	LA CRUZ	
06	NOGALES	
01	SAN ANTONIO	
02	ALGARROBO	
03	CARTAGENA	m n o
04	EL QUISCO	p q
05	EL TABO	r s t
06	SANTO DOMINGO	u v
01	SAN FELIPE	w x y
02	CATEMU	z #
03	LLAILLAY	##
04	PANQUEHUE	###
05	PUTAENDO	##
06	SANTA MARA	###
01	QUILPU	##
02	LIMACHE	###
03	OLMU	##
04	VILLA ALEMANA	###
01	RANCAGUA	##
02	CODEGUA	###
03	COINCO	##
04	COLTAUCO	###
05	DOIHUE	#u'v
06	GRANEROS	'w'x'
07	LAS CABRAS	y'z'{
08	MACHAL	'|'}'
09	MALLOA	''
10	MOSTAZAL	'''
11	OLIVAR	''
12	PEUMO	'''
13	PICHIDEGUA	=(>(?
14	QUINTA DE TILCOCO	(@(A(
15	RENGO	B(C(
16	REQUNOA	(((
17	SAN VICENTE	(]+^
01	PICHILEMU	+++
02	LA ESTRELLA	+%,&
03	LITUECHE	,',,
04	MARCHIHUE	,E/F
05	NAVIDAD	/G/H/
06	PAREDONES	//
01	SAN FERNANDO	000
02	CHPICA	q0r0-
03	CHIMBARONGO	3.3/3
04	LOLOL	03132
05	NANCAGUA	33343
06	PALMILLA	53637
07	PERALILLO	38393
08	PLACILLA	:3;3<
09	PUMANQUE	3=3>3
10	SANTA CRUZ	?3@3A
01	TALCA	3B3C3
02	CONSTITUCIN	D3E3F
03	CUREPTO	3G3H3
04	EMPEDRADO	I3J3K
05	MAULE	3L33
06	PELARCO	33
07	PENCAHUE	333
08	RO CLARO	Y4Z4[
09	SAN CLEMENTE	4\44
10	SAN RAFAEL	44
01	CAUQUENES	44!5
