IDDIST	NDISTRITO	
01	PUERTO
02	BARRIO INDUSTRIAL
03	HOSPITAL
04	CAUPOLICN
05	PLAYA BRAVA
06	CAVANCHA
07	PARQUE BALMACEDA
08	ARTURO PRAT
09	PUNTA LOBOS
10	GOMEZ CARREO
11	LA TIRANA
99	
01	AUTDROMO
02	ALTO HOSPICIO
03	SANTA ROSA
04	PAMPA DEL MOLLE
99	
01	POZO ALMONTE
02	MAMIA
03	LA TIRANA
05	GUATACONDO
06	LAGUNAS
07	BUENAVENTURA
99	
01	CAMIA
99	
01	ISLUGA
02	CARIQUIMA
03	PUCHULDIZA
04	CAICO
99	
01	HUARA
02	TARAPAC
03	GUAVIA
04	PISAGUA
05	TANA
06	MIIMIE
07	CHIAPA
08	SOGA
99	
01	PICA
02	SALAR DE COPOSA
03	CANCOSA
04	SALAR DEL HUASCO
99	
01	LA CHIMBA
02	PORTALES
03	BARRIO INDUSTRIAL
04	ARTURO PRAT
05	MIRAMAR
06	COMERCIO
07	RESIDENCIAL
08	ESTADIO REGIONAL
09	HUANCHACA
10	COLOSO
11	MANTOS BLANCOS
12	AGUAS BLANCAS
13	SALAR PUNTA NEGRA
14	HUAMACHUCO
15	IRARRZAVAL
16	PEDRO AGUIRRE CERDA
17	OSCAR BONILLA
18	SALAR DEL CARMEN
99	
01	MEJILLONES
02	CALETA LOS HORNOS
99	
01	PAMPA UNIN
02	BOQUETE
03	BAQUEDANO
04	SALINAS
99	
01	EL PUERTO
02	FERROCARRIL
03	LA CALETA
04	PAPOSO
05	SANTA LUISA
07	CATALINA
08	GUANACO
09	QUEBRADA DEL JUNCAL
99	
01	CALAMA
02	CHUQUICAMATA
03	VOLCN MIO
05	REGIMIENTO
06	CEMENTERIO
07	BERNARDO O'HIGGINS
08	JAVIERA CARRERA
09	CHACABUCO
10	MANUEL RODRGUEZ
11	MAIP
12	INDEPENDENCIA
13	CHIUCHIU
14	AEROPUERTO EL LOA
15	CASPANA
99	
01	OLLAGE
02	ASCOTN
01	SAN PEDRO DE ATACAMA
02	TOCONAO
03	SOCAIRE
99	
01	COMERCIO
02	HOSPITAL
03	GUACHN
04	BARRILES
05	GATICO
06	ESTACIN
99	
01	QUILLAGUA
03	TOCO
04	MARA ELENA
05	FRANCISCO VERGARA
06	PEDRO DE VALDIVIA
99	
01	SALAS
02	INFANTE
03	LETELIER
04	PLAZA
05	MQUINA DEL PUENTE
06	CERRO
07	REGIMIENTO
08	LOS AROMOS
09	CEMENTERIO
10	CANDELERO
11	UNIVERSIDAD
12	TOLEDO
13	CASTILLA
14	CERRO BLANCO
15	PUNTA DE DAZ
16	VIITA
17	MONTE AMARGO
18	CARRERA PINTO
19	PUQUIOS
20	SAN MIGUEL
21	PUNTA NEGRA
22	TOTORAL
23	ELEUTERIO RAMREZ
24	DIEGO DE ALMAGRO
99	
01	CALDERA
02	TOTORALILLO
03	PUERTO VIEJO
04	TOTORAL
99	
01	TIERRA AMARILLA
02	LOMAS BAYAS
03	LA JUNTA
04	SAN ANTONIO
05	LOS LOROS
06	BORDOS
07	PABELLN
99	
01	CHAARAL
02	SALADO
03	FLAMENCO
99	
01	DIEGO DE ALMAGRO
02	SALVADOR
03	POTRERILLOS
04	INCA DE ORO
01	SARGENTO ALDEA
02	O'HIGGINS
03	LIBERTAD
04	HERMANOS CARRERA
05	LOS CANALES
06	EL ZAPALLO
07	VIZCACHITAS
08	DOMEYKO
09	LAS VENTANAS
10	ALGARROBAL
11	LAS CUAS
12	IMPERIAL
13	INCAGUASI
15	CAMARONES
99	
01	ALTO DEL CARMEN
02	LA MARQUESA
03	EL TRNSITO
04	CONAY
05	LA PAMPA
06	LA HIGUERITA
07	SAN FLIX
08	LA MAJADA
09	RETAMO
10	EL CORRAL
11	ALGODN
12	SIERRA CATALINA
99	
01	CAPOTE
02	FREIRINA
03	QUEBRADITA
04	CARRIZALILLO
99	
01	HUASCO
02	CARRIZAL
99	
01	INTENDENCIA
02	MERCADO
03	FRANCISCO DE AGUIRRE
04	LAS VEGAS
05	LA PAMPA
06	LA FLORIDA
07	ALGARROBITO
08	PORVENIR
09	LAS ROJAS
10	ROMERO
11	CONDORIACO
12	ALMIRANTE LATORRE
13	ISLN
14	LA COMPAA
15	UNIVERSIDAD
16	LA COMPAA ALTA
17	EL OLIVAR
99	
01	ADUANA
02	LORD COCHRANE
03	BUEN PASTOR
04	BAQUEDANO
05	CANTERA
06	PAN DE AZCAR
07	CERRILLOS
08	LA HERRADURA
09	ESTACIN
10	EL PEN
11	TAMBILLOS
12	LAS CARDAS
13	CAMARONES
14	EL TANGUE
15	TONGOY
16	GUANAQUEROS
17	TIERRAS BLANCAS
18	LAS ROSAS
99	
01	ANDACOLLO
02	CORRAL QUEMADO
03	MAITENCILLO
04	LA CALDERA
99	
01	LA HIGUERA
02	QUEBRADA HONDA
03	EL TOFO
04	CRUZ GRANDE
05	LOS CHOROS
06	EL TRAPICHE
07	TRES CRUCES
08	PUNTA COLORADA
09	EL TORNO
99	
01	PAIGUANO
02	LA QUEBRADA
03	LA BAJADA
04	QUEBRADA DE PINTO
05	MONTE GRANDE
06	ALCOGUS
07	PISCO ELQUI
08	JARILLAS
99	
01	VICUA NORTE
02	VICUA SUR
03	SAN ISIDRO
04	DIAGUITAS
05	PERALILLO
06	EL TAMBO
07	ALGODONES
08	EL ARRAYN
09	EL MOLLE
10	MARQUESA
11	GUALLIGUAICA
12	RIVADAVIA
13	VARILLAR
15	GUANTA
99	
01	CIUDAD ORIENTE
02	CIUDAD PONIENTE
03	QUILLAICILLO
04	TUNGA NORTE
05	PLAN DE HORNOS
06	HACIENDA ILLAPEL
07	LIMAHUIDA
08	CHOAPA
