IDPROVIN	NPROVI	REDCODEN	
1	IQUIQUE	
4	DEL TAMARUGAL	
1	ANTOFAGASTA	
2	EL LOA	
3	TOCOPILLA	!
1	COPIAP	)
2	CHAARAL	*+
3	HUASCO	3
1	ELQUI	45
2	CHOAPA	6
3	LIMAR	78
1	VALPARASO	9
2	ISLA DE PASCUA	:=
3	LOS ANDES	>
4	PETORCA	?G
5	QUILLOTA	H
6	SAN ANTONIO	IJ
7	SAN FELIPE DE ACONCAGUA	Q
8	MARGA MARGA	RS
1	CACHAPOAL	[
2	CARDENAL CARO	\e
3	COLCHAGUA	f
1	TALCA	gh
2	CAUQUENES	o
3	CURIC	pq
4	LINARES	r
1	CONCEPCIN	yz
2	ARAUCO	{
3	BIOBO	|
1	CAUTN	
2	MALLECO	
1	LLANQUIHUE	
2	CHILO	
3	OSORNO	
4	PALENA	
1	COYHAIQUE	
2	AYSN	
3	CAPITN PRAT	
4	GENERAL CARRERA	
1	MAGALLANES	
2	ANTRTICA CHILENA	
3	TIERRA DEL FUEGO	
4	LTIMA ESPERANZA	
1	SANTIAGO	
2	CORDILLERA	
3	CHACABUCO	
4	MAIPO	
5	MELIPILLA	
6	TALAGANTE	
1	VALDIVIA	
2	RANCO	
1	ARICA	
2	PARINACOTA	
1	DIGUILLN	
2	ITATA	
3	PUNILLA	
