IDZC	NLOCALIDAD	
001	
002	
001	
002	
003	
004	
005	
001	
002	
003	
004	
001	
002	
003	
004	
005	
006	
001	
002	
003	
004	
005	
006	
001	
002	
003	
004	
005	
001	
002	
003	
004	
001	
002	
003	
004	
001	AEROPUERTO
004	CARAMUCHO
005	CHANAVAYA
006	CHANAVAYITA
007	CHIPANA
010	LOS VERDES
012	PATACHE
014	PLAYA LOBITO
016	PLAYA QUINTEROS
017	PLAYA YAPE
018	POZO TOYO
019	PUNTA GRUESA
020	RO LOA
021	RO SECO
022	SALAR GRANDE
023	SAN MARCOS
024	SEREMEO
901	INDETERMINADA
001	
002	
003	
004	
005	
006	
001	
002	
003	
004	
005	
006	
007	
008	
009	
010	
011	
012	
013	
014	
002	ALTO MOLLE
003	BAJO MOLLE
013	PLAYA BLANCA
019	PUNTA GRUESA
025	TRES ISLAS
901	INDETERMINADA
999	
001	
002	
003	
003	CAMINO CALETA BUENA
007	LAS QUEMAS
009	VERTEDERO
901	INDETERMINADA
001	
002	
003	
004	
005	
006	
007	
008	
001	
002	
003	
005	ESTANQUE DIEZ MIL
006	HUANTAJAYA
008	MINERA DE LA PLATA
001	
002	
003	
004	
005	
006	
007	
002	ALTO MOLLE
999	
001	
002	
001	BAQUEDANO
018	NUEVA CALIFORNIA
021	POZO ALMONTE
901	INDETERMINADA
005	CERRO COLORADO
010	IQUIUCA
014	MACAYA
015	MAMIA
017	NOAZA
019	PARCA
022	QUEBRADA SAGASCA
024	QUIPISCA
029	YAMIGA
002	CANCHONES
006	CRUCE MAMIA
007	EL CARMELO
011	LA HUAYCA
012	LA TIRANA
025	REFRESCO
026	SARA
901	INDETERMINADA
004	CAUTENISCA
009	HUATACONDO
016	MAN
020	PINTADOS
901	INDETERMINADA
013	LAGUNAS
023	QUILLAGUA
008	EX OFICINA VICTORIA
027	SORONAL
999	
001	APAMILCA
002	CAMIA
003	CHAPIQUILTA
004	CUISAMA
005	FRANCIA
006	MOQUELLA
007	NAMA
008	QUISTAGAMA
009	SAIA
010	YALA YALA
999	
001	ANCOVINTO
003	ANCUYO
008	COLCHANE
009	ENQUELGA
012	ISLUGA
013	MAUQUE
015	PARAJALLA
002	ANCUAQUE
005	CARIQUIMA
006	CHULLUNCANE
007	CHURULLO
010	HUANCA
011	HUAYTANE
014	PANAVINTO
017	QUEBE
018	VILLABLANCA
901	INDETERMINADA
016	PUCHULDIZA
004	BERENGUELA
999	
001	
008	COSCAYA
013	HUASQUIA
016	LAONZANA
020	MOCHA
022	PACHICA
024	POROMA
034	TARAPAC
901	INDETERMINADA
006	CHUSMIZA
014	HUAVIA
017	LIMAXIA
020	MOCHA
028	SIBAYA
029	SIPIZA
036	USMAGAMA
901	INDETERMINADA
001	BAJO SOGA
021	NEGREIROS
023	PISAGUA
037	ZAPICA
901	INDETERMINADA
007	CORZA
025	PUNTA COLORADA
033	TANA
035	TILIVICHE
003	CHAMPAJA
005	CHIZA
009	CUANALLA
018	MII MIE
019	MIITA
027	QUIPINTA
032	SUCA
901	INDETERMINADA
004	CHIAPA
015	JAIA
026	QUEBRADA DE AROMA
031	SOTOCA
